"hidden_states","worm_model","N2_f1_states","N2_nf4_states","N2_nf5_states","tph1_f6_states"
3,"N2_f1_hmm",215.784501961893,366.651101959176,440.718524083421,269.353275697322
3,"N2_nf4_hmm",290.769768133472,264.391952280192,364.654016834354,291.160671270212
3,"N2_nf5_hmm",298.723916095196,316.946143941502,277.154832715715,331.393007727022
3,"tph1_f6_hmm",273.346682903218,329.48472327159,405.738291653481,210.828256539906
4,"N2_f1_hmm",213.952264238738,375.503658737467,458.455328729712,277.698172088845
4,"N2_nf4_hmm",295.054683813223,259.554237374016,380.707941148578,301.068233798375
4,"N2_nf5_hmm",333.560594728215,347.257589161021,269.336001349537,379.696774457376
4,"tph1_f6_hmm",298.893304034158,335.675890512716,439.235686374416,198.530249953797
5,"N2_f1_hmm",207.438768775095,393.347020332927,479.136868074338,286.630706669113
5,"N2_nf4_hmm",326.517060253004,250.661613870711,415.597489855267,337.357131595043
5,"N2_nf5_hmm",368.583392942299,358.373524791315,260.981132125455,383.911502174568
5,"tph1_f6_hmm",291.972332198735,350.057675381277,418.654162749878,198.350713171082
6,"N2_f1_hmm",204.460194113978,392.136262513003,486.232782741162,301.105396993518
6,"N2_nf4_hmm",337.096293662206,247.323149293329,419.163294217926,333.878742694713
6,"N2_nf5_hmm",379.042096461939,390.06709739633,255.690300504503,432.235639097676
6,"tph1_f6_hmm",323.684715631754,364.977468059657,452.330843477876,196.974676694762
7,"N2_f1_hmm",203.192112368371,406.273875749272,490.043313502482,320.879606733705
7,"N2_nf4_hmm",343.291178298236,242.232841351098,425.829000397101,344.229613311165
7,"N2_nf5_hmm",400.79126079479,395.95530771464,247.913002662221,419.051841478407
7,"tph1_f6_hmm",327.972885651476,373.023372795908,467.243215707997,192.944835937848
8,"N2_f1_hmm",197.336360033047,415.405288039803,492.815953546693,344.386600089339
8,"N2_nf4_hmm",345.625453226455,239.757169945989,437.423900574436,368.341700350984
8,"N2_nf5_hmm",419.874434385193,411.876281351251,246.872302517032,430.137655969237
8,"tph1_f6_hmm",337.537495948295,397.334544720966,483.223100028348,191.568204906328
9,"N2_f1_hmm",195.021605085441,419.509643955319,496.462936649641,351.437628581346
9,"N2_nf4_hmm",364.057706258376,238.995089182603,438.754742670819,370.942440036152
9,"N2_nf5_hmm",406.012217663397,415.288645647548,240.850486450744,435.273848663536
9,"tph1_f6_hmm",348.666630546759,402.298124195133,480.747678756183,189.380496976108
10,"N2_f1_hmm",192.184966690712,428.055433075452,497.957617267276,371.858882115736
10,"N2_nf4_hmm",362.901269449037,238.36645163968,443.060148435356,367.913905005781
10,"N2_nf5_hmm",428.391498975365,426.629798145379,241.93882662777,446.23059977178
10,"tph1_f6_hmm",361.180975715518,404.378519064702,485.87025793185,186.649755575065
