"worm_name","cluster","Last_A","Last_B","Last_C","Last_D","Last_E","Last_F","Last_NA"
"N2_f1","A",0.321428571428571,0.214285714285714,0.25,0.142857142857143,0.0714285714285714,0,0
"N2_nf4","A",0.217391304347826,0.173913043478261,0.217391304347826,0.173913043478261,0.130434782608696,0.0434782608695652,0.0434782608695652
"N2_nf5","A",0.142857142857143,0.285714285714286,0.0952380952380952,0.285714285714286,0.0476190476190476,0.142857142857143,0
"tph1_f6","A",0.4,0.15,0.2,0.15,0.05,0,0.05
"N2_f1","B",0.307692307692308,0.461538461538462,0.230769230769231,0,0,0,0
"N2_nf4","B",0.272727272727273,0.272727272727273,0.227272727272727,0.0454545454545455,0.181818181818182,0,0
"N2_nf5","B",0.277777777777778,0.333333333333333,0.0555555555555556,0.166666666666667,0.111111111111111,0,0.0555555555555556
"tph1_f6","B",0.19047619047619,0.523809523809524,0.285714285714286,0,0,0,0
"N2_f1","C",0.388888888888889,0.333333333333333,0.222222222222222,0,0.0555555555555556,0,0
"N2_nf4","C",0.125,0.375,0.0625,0.3125,0.0625,0.0625,0
"N2_nf5","C",0.142857142857143,0.142857142857143,0,0.285714285714286,0.285714285714286,0.142857142857143,0
"tph1_f6","C",0.1875,0.09375,0.59375,0,0.125,0,0
"N2_f1","D",0.25,0.125,0,0.5,0,0,0.125
"N2_nf4","D",0.5,0.2,0.2,0,0.1,0,0
"N2_nf5","D",0.347826086956522,0.0869565217391304,0.130434782608696,0.304347826086957,0.0434782608695652,0.0869565217391304,0
"tph1_f6","D",0.666666666666667,0,0.333333333333333,0,0,0,0
"N2_f1","E",0.666666666666667,0,0.333333333333333,0,0,0,0
"N2_nf4","E",0.222222222222222,0.333333333333333,0.333333333333333,0,0,0.111111111111111,0
"N2_nf5","E",0.142857142857143,0.142857142857143,0.142857142857143,0.428571428571429,0.142857142857143,0,0
"tph1_f6","E",0,0.5,0.333333333333333,0,0.166666666666667,0,0
"N2_nf4","F",0.666666666666667,0.333333333333333,0,0,0,0,0
"N2_nf5","F",0.428571428571429,0.285714285714286,0,0.142857142857143,0,0.142857142857143,0
"tph1_f6","F",0,1,0,0,0,0,0
