"worm_name","cluster","Last_A","Last_B","Last_C","Last_D","Last_NA"
"N2_f1","A",0.513513513513513,0.243243243243243,0.135135135135135,0.108108108108108,0
"N2_nf4","A",0.46875,0.15625,0.25,0.09375,0.03125
"N2_nf5","A",0.4375,0.1875,0.15625,0.21875,0
"tph1_f6","A",0.648648648648649,0.0810810810810811,0.162162162162162,0.0810810810810811,0.027027027027027
"N2_f1","B",0.416666666666667,0.458333333333333,0.125,0,0
"N2_nf4","B",0.318181818181818,0.454545454545455,0.181818181818182,0.0454545454545455,0
"N2_nf5","B",0.1875,0.4375,0.125,0.1875,0.0625
"tph1_f6","B",0.4375,0.4375,0.125,0,0
"N2_f1","C",0.428571428571429,0.142857142857143,0.428571428571429,0,0
"N2_nf4","C",0.25,0.35,0.3,0.1,0
"N2_nf5","C",0.111111111111111,0.222222222222222,0,0.666666666666667,0
"tph1_f6","C",0.111111111111111,0.185185185185185,0.703703703703704,0,0
"N2_f1","D",0.25,0.125,0,0.5,0.125
"N2_nf4","D",0.555555555555556,0,0.222222222222222,0.222222222222222,0
"N2_nf5","D",0.5,0.0384615384615385,0.0769230769230769,0.384615384615385,0
"tph1_f6","D",0.666666666666667,0.333333333333333,0,0,0
