"hidden_states","worm_model","N2_f1_states","N2_nf4_states","N2_nf5_states","tph1_f6_states"
3,"N2_f1_hmm",186.042692504573,273.661061076663,295.338105372437,218.538617715106
3,"N2_nf4_hmm",223.316174656261,216.997003517344,243.005450639299,211.638804126746
3,"N2_nf5_hmm",262.433049433231,257.552850720413,208.68120808539,277.489179419425
3,"tph1_f6_hmm",239.178481669838,262.115668159145,350.137295023079,154.595497993556
4,"N2_f1_hmm",185.676825588783,282.51924202145,313.339029603245,220.367208232365
4,"N2_nf4_hmm",230.683799922756,216.554776996169,251.273834659828,215.354971655794
4,"N2_nf5_hmm",284.222730149497,292.940141476587,203.123456460443,320.202139609455
4,"tph1_f6_hmm",247.992561684483,276.70155784042,359.058350951686,154.279801070657
5,"N2_f1_hmm",185.414529007587,294.78407981342,333.639478422083,224.650290134646
5,"N2_nf4_hmm",244.11229618887,214.085566839687,273.975524178831,217.517577945771
5,"N2_nf5_hmm",306.038266382368,312.426283285753,193.725059107929,351.246567762211
5,"tph1_f6_hmm",258.255408593685,289.91900488206,380.410079163476,153.723579335028
6,"N2_f1_hmm",184.424493802479,301.818262051321,335.682706613258,219.166223470138
6,"N2_nf4_hmm",248.790394567536,210.979130150899,283.826713311313,222.510937070348
6,"N2_nf5_hmm",321.689926987947,336.142871899713,189.999844575085,378.925924853422
6,"tph1_f6_hmm",275.732843141607,301.430762891773,417.602192929835,152.806704720653
7,"N2_f1_hmm",180.798345298271,307.001839468868,336.224547925808,231.525038241497
7,"N2_nf4_hmm",264.502497518751,207.120837116873,291.420857541981,237.62031414753
7,"N2_nf5_hmm",334.926256829703,347.025183508844,189.10189395124,412.736258786403
7,"tph1_f6_hmm",291.486042631749,312.473497161172,425.046768699853,152.748905960936
8,"N2_f1_hmm",179.453875830301,322.573114082803,347.027679849878,240.249129234184
8,"N2_nf4_hmm",278.208584128517,201.851897359627,317.517845637879,245.093407994991
8,"N2_nf5_hmm",334.379615704982,347.480925851847,190.681186647604,402.702968186208
8,"tph1_f6_hmm",286.068290263172,322.24446317704,415.822031458144,155.784897848096
9,"N2_f1_hmm",178.448253182904,324.286812232622,352.009669053777,247.297448849503
9,"N2_nf4_hmm",278.012740428799,203.79391313863,315.943583228721,249.616895495184
9,"N2_nf5_hmm",344.183896839567,359.070114991182,187.790148038657,420.296209315604
9,"tph1_f6_hmm",295.447826539047,333.288851316277,429.18433075274,153.943564789493
10,"N2_f1_hmm",177.058919465162,336.959122171659,364.448225294219,246.366247703012
10,"N2_nf4_hmm",296.624054145791,201.645894913232,329.083886071012,260.132319627081
10,"N2_nf5_hmm",343.018978467696,365.230207634669,188.120400535844,432.140762944798
10,"tph1_f6_hmm",298.826366514541,331.283013338504,432.167457793853,158.814534980302
