"hidden_states","worm_model","N2_f1_states","N2_nf4_states","N2_nf5_states","tph1_f6_states"
3,"N2_f1_hmm",182.548270361213,300.864121982912,343.883503852003,262.198705823782
3,"N2_nf4_hmm",239.041228020008,218.42243248407,278.399603115759,229.383649415669
3,"N2_nf5_hmm",249.321033032031,259.363895388929,224.648505265494,285.491877315795
3,"tph1_f6_hmm",219.63386894819,266.570922172989,283.958389068366,168.265757381892
4,"N2_f1_hmm",180.126329291357,327.779065004585,361.765089629007,260.558341395573
4,"N2_nf4_hmm",256.416768410021,213.025670898779,302.906757555943,261.759215028353
4,"N2_nf5_hmm",289.606621253747,283.636818229886,217.318174112478,316.754153079779
4,"tph1_f6_hmm",237.215546836761,278.177410555758,330.219796029464,167.674732326657
5,"N2_f1_hmm",178.33185766428,346.640354211608,381.001698581431,287.177229528782
5,"N2_nf4_hmm",275.262414235376,207.545247227651,339.17736130397,253.928301515688
5,"N2_nf5_hmm",320.898151750179,320.332394250418,209.437858443065,343.091926711969
5,"tph1_f6_hmm",246.671010850704,292.474825817964,351.152606817503,166.701017034792
6,"N2_f1_hmm",175.955002961631,347.795952793026,377.723094185834,300.216739830433
6,"N2_nf4_hmm",289.639600829567,201.700270016609,346.734807097351,290.714309741499
6,"N2_nf5_hmm",332.069109458623,327.173733602943,210.565453477943,361.069576764787
6,"tph1_f6_hmm",256.308152901592,299.612606686616,351.372528036272,169.068117149858
7,"N2_f1_hmm",174.171311886201,357.239589514913,391.508654397899,300.589638921319
7,"N2_nf4_hmm",311.073588803867,191.179483231959,365.058550920177,322.348369292399
7,"N2_nf5_hmm",322.384778101323,348.908760296415,210.283282824788,361.79069393475
7,"tph1_f6_hmm",253.109770901759,302.358901133608,351.264728697373,170.098289990276
8,"N2_f1_hmm",168.798293266857,366.453990799616,397.253691576671,322.668630747283
8,"N2_nf4_hmm",313.476852592467,194.444618519345,373.096794675274,315.351647815546
8,"N2_nf5_hmm",344.188844812986,361.16178225877,206.437120447607,381.916599140811
8,"tph1_f6_hmm",269.041055202079,310.869411354987,368.488036534309,167.192677180355
9,"N2_f1_hmm",172.565930831944,371.522922003639,396.946540982097,321.144879625803
9,"N2_nf4_hmm",319.590043050745,191.790182274874,385.731453479758,327.585315374065
9,"N2_nf5_hmm",358.17749980816,372.417917117888,204.039660737756,403.225316774465
9,"tph1_f6_hmm",274.536338008373,316.405102618416,371.279931817413,169.573322270655
10,"N2_f1_hmm",170.010018648947,372.200127305157,414.492298982596,323.517176810734
10,"N2_nf4_hmm",334.262891822756,190.070219503119,393.215914012266,318.151870231795
10,"N2_nf5_hmm",349.809851418377,376.453265599752,203.082853952684,394.592239786448
10,"tph1_f6_hmm",278.190102863441,319.36313977167,396.787407446471,172.319664152437
