"hidden_states","worm_model","N2_f1_states","N2_nf4_states","N2_nf5_states","tph1_f6_states"
3,"N2_f1_hmm",569.901628367952,1179.74683261527,1326.37543522768,586.966851495697
3,"N2_nf4_hmm",733.095176726388,827.678798671936,910.380858584423,709.88621375935
3,"N2_nf5_hmm",771.535193531536,936.782269446898,788.643465785845,799.584827880602
3,"tph1_f6_hmm",675.941419323597,1251.53893427834,1462.79177688716,524.915420590337
4,"N2_f1_hmm",561.133580793337,1180.49696790412,1328.04795519144,583.104592538878
4,"N2_nf4_hmm",732.247703431982,809.083110868619,914.332124888498,711.293964458713
4,"N2_nf5_hmm",767.971895631008,954.676736752896,789.573740761103,795.268969148967
4,"tph1_f6_hmm",691.325667317799,1263.65892822437,1470.98323362748,523.676443568607
5,"N2_f1_hmm",559.513478014007,1191.94106717725,1347.1695827178,597.862016448908
5,"N2_nf4_hmm",743.920057504984,804.854611799127,934.686608472957,726.009400485824
5,"N2_nf5_hmm",791.901467986646,978.503803806329,790.763144303727,821.54787242065
5,"tph1_f6_hmm",710.149747173494,1304.35903661206,1507.38506441139,516.732890793647
6,"N2_f1_hmm",551.545536253485,1204.88979717907,1343.03221798778,621.911307049741
6,"N2_nf4_hmm",764.089307294168,796.379885181118,962.441337949549,740.834200698104
6,"N2_nf5_hmm",801.396874591624,991.956895450183,781.72876803942,825.013009086796
6,"tph1_f6_hmm",715.774703202259,1296.98820550918,1529.58638595331,515.223566143753
7,"N2_f1_hmm",549.556855236837,1223.87647674405,1347.94308470753,633.54537723374
7,"N2_nf4_hmm",786.673480817307,784.040337694418,993.646122481892,755.044927817289
7,"N2_nf5_hmm",803.102904154589,1005.82125126591,774.098606649242,835.970118727536
7,"tph1_f6_hmm",731.710874733198,1303.56075037552,1497.88277466158,510.765177914629
8,"N2_f1_hmm",549.016266754987,1235.27344291679,1360.59198518079,652.492241061917
8,"N2_nf4_hmm",804.127331929359,776.667707130391,997.554387922838,772.450862837267
8,"N2_nf5_hmm",800.43029528208,1038.12277275876,772.35480896574,838.305626095838
8,"tph1_f6_hmm",748.864615312369,1322.72147582311,1489.42204336223,508.073353985899
9,"N2_f1_hmm",544.742435250584,1242.80495252976,1351.86506919019,662.247693530762
9,"N2_nf4_hmm",837.624222531362,771.323216558057,1038.91269354518,807.968481624227
9,"N2_nf5_hmm",812.603254557161,1052.51289400094,771.113612893208,861.847899444853
9,"tph1_f6_hmm",787.845867591503,1317.14678246987,1523.71086379559,502.073231799739
10,"N2_f1_hmm",542.841855745027,1263.33411933563,1378.05717438729,673.822518185578
10,"N2_nf4_hmm",840.397776712828,757.996324039874,1060.77875694976,819.723722709737
10,"N2_nf5_hmm",826.262584797511,1072.37342268634,757.33203238974,863.241655771028
10,"tph1_f6_hmm",806.172747540656,1351.03075706926,1544.90417257506,501.561349900418
