"worm_name","A","B","C","D","E"
"N2_f1",0.309352517985612,0.39568345323741,0.255395683453237,0.039568345323741,0
"N2_nf4",0.294964028776978,0.258992805755396,0.233812949640288,0.133093525179856,0.079136690647482
"N2_nf5",0.255395683453237,0.194244604316547,0.309352517985612,0.111510791366906,0.129496402877698
"tph1_f6",0.492805755395683,0.363309352517986,0.111510791366906,0.0323741007194245,0
