"worm_name","cluster","Last_A","Last_B","Last_C","Last_D","Last_E","Last_NA"
"N2_f1","A",0.488372093023256,0.255813953488372,0.209302325581395,0.0465116279069767,0,0
"N2_nf4","A",0.353658536585366,0.109756097560976,0.341463414634146,0.109756097560976,0.0731707317073171,0.0121951219512195
"N2_nf5","A",0.338028169014085,0.0563380281690141,0.338028169014085,0.0845070422535211,0.183098591549296,0
"tph1_f6","A",0.627737226277372,0.18978102189781,0.138686131386861,0.0437956204379562,0,0
"N2_f1","B",0.172727272727273,0.7,0.109090909090909,0.0181818181818182,0,0
"N2_nf4","B",0.194444444444444,0.416666666666667,0.166666666666667,0.152777777777778,0.0694444444444444,0
"N2_nf5","B",0.148148148148148,0.5,0.203703703703704,0.037037037037037,0.0925925925925926,0.0185185185185185
"tph1_f6","B",0.287128712871287,0.623762376237624,0.0495049504950495,0.0297029702970297,0,0.0099009900990099
"N2_f1","C",0.295774647887324,0.112676056338028,0.507042253521127,0.0704225352112676,0,0.0140845070422535
"N2_nf4","C",0.369230769230769,0.184615384615385,0.230769230769231,0.123076923076923,0.0923076923076923,0
"N2_nf5","C",0.267441860465116,0.162790697674419,0.348837209302326,0.116279069767442,0.104651162790698,0
"tph1_f6","C",0.548387096774194,0.225806451612903,0.225806451612903,0,0,0
"N2_f1","D",0.363636363636364,0.181818181818182,0.454545454545455,0,0,0
"N2_nf4","D",0.243243243243243,0.405405405405405,0.162162162162162,0.0540540540540541,0.135135135135135,0
"N2_nf5","D",0.258064516129032,0.0967741935483871,0.290322580645161,0.225806451612903,0.129032258064516,0
"tph1_f6","D",0.444444444444444,0.555555555555556,0,0,0,0
"N2_nf4","E",0.272727272727273,0.227272727272727,0.181818181818182,0.318181818181818,0,0
"N2_nf5","E",0.222222222222222,0.166666666666667,0.305555555555556,0.166666666666667,0.138888888888889,0
