"worm_name","A","B","C"
"N2_f1",0.645569620253165,0.164556962025316,0.189873417721519
"N2_nf4",0.449367088607595,0.284810126582278,0.265822784810127
"N2_nf5",0.287974683544304,0.294303797468354,0.417721518987342
"tph1_f6",0.642405063291139,0.272151898734177,0.0854430379746835
