"worm_name","cluster","Last_A","Last_B","Last_C","Last_NA"
"N2_f1","A",0.745098039215686,0.161764705882353,0.0931372549019608,0
"N2_nf4","A",0.542253521126761,0.274647887323944,0.176056338028169,0.00704225352112676
"N2_nf5","A",0.516483516483517,0.175824175824176,0.296703296703297,0.010989010989011
"tph1_f6","A",0.704433497536946,0.221674876847291,0.0689655172413793,0.00492610837438424
"N2_f1","B",0.557692307692308,0.192307692307692,0.25,0
"N2_nf4","B",0.422222222222222,0.244444444444444,0.333333333333333,0
"N2_nf5","B",0.172043010752688,0.333333333333333,0.494623655913978,0
"tph1_f6","B",0.534883720930233,0.372093023255814,0.0930232558139535,0
"N2_f1","C",0.366666666666667,0.15,0.466666666666667,0.0166666666666667
"N2_nf4","C",0.30952380952381,0.345238095238095,0.345238095238095,0
"N2_nf5","C",0.212121212121212,0.348484848484849,0.439393939393939,0
"tph1_f6","C",0.481481481481481,0.333333333333333,0.185185185185185,0
