"worm_name","cluster","Last_A","Last_B","Last_C","Last_D","Last_NA"
"N2_f1","A",0.457142857142857,0.342857142857143,0.114285714285714,0.0857142857142857,0
"N2_nf4","A",0.344827586206897,0.172413793103448,0.172413793103448,0.275862068965517,0.0344827586206897
"N2_nf5","A",0.28,0.28,0.08,0.36,0
"tph1_f6","A",0.565217391304348,0.130434782608696,0.173913043478261,0.0869565217391304,0.0434782608695652
"N2_f1","B",0.366666666666667,0.5,0.133333333333333,0,0
"N2_nf4","B",0.28,0.36,0.32,0.04,0
"N2_nf5","B",0.263157894736842,0.368421052631579,0.105263157894737,0.210526315789474,0.0526315789473684
"tph1_f6","B",0.185185185185185,0.592592592592593,0.222222222222222,0,0
"N2_f1","C",0.636363636363636,0.0909090909090909,0.272727272727273,0,0
"N2_nf4","C",0.235294117647059,0.470588235294118,0.117647058823529,0.176470588235294,0
"N2_nf5","C",0.272727272727273,0.0909090909090909,0.272727272727273,0.363636363636364,0
"tph1_f6","C",0.1,0.233333333333333,0.666666666666667,0,0
"N2_f1","D",0.142857142857143,0.142857142857143,0,0.571428571428571,0.142857142857143
"N2_nf4","D",0.583333333333333,0.25,0.166666666666667,0,0
"N2_nf5","D",0.357142857142857,0.142857142857143,0.142857142857143,0.357142857142857,0
"tph1_f6","D",0.666666666666667,0.333333333333333,0,0,0
